Brand,Nama Produk,Jenis Produk,Untuk Kulit,Masalah Kulit,Ukuran,Tipe Bahan Aktif,Keamanan Bumil & Busui,Rekomendasi Bumil & Busui,Batas Usia Minimal,Batas Usia Maksimal,Tahun Rilis,Kisaran Harga
Scarlett,Scarlett Miraculous Retinol Ampoule,Cream,Kombinasi,Kusam,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp39.000–Rp75.000
Skintific,Skintific Green Tea Balancing Toner,Toner,Sensitif,Jerawat,20 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp35.000–Rp139.000
COSRX,COSRX Vitamin C,Serum,Sensitif,Flek hitam,100 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp55.000–Rp256.000
Scarlett,Scarlett Acne Treatment,Serum,Sensitif,Jerawat,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2020,Rp39.000–Rp75.000
Skintific,Skintific Bakuchiol Night Cream,Sunscreen,Kering,Flek hitam,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp35.000–Rp139.000
COSRX,COSRX Niacinamide 10% + Zinc 1%,Essence,Normal,Iritasi,100 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2019,Rp55.000–Rp256.000
Skintific,Skintific Advanced Snail 96 Mucin,Essence,Kering,Flek hitam,30 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp35.000–Rp139.000
Dear Me Beauty,Dear Me Beauty Tea Tree Spot Gel,Cleanser,Kering,Dehidrasi,50 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp83.000–Rp129.000
Avoskin,Avoskin Cica Soothing Cream,Serum,Kombinasi,Iritasi,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2019,Rp89.000–Rp250.000
Scarlett,Scarlett Luminous Whitening Night,Cream,Kering,Flek hitam,20 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2023,Rp39.000–Rp75.000
Wardah,Wardah Miraculous Retinol Ampoule,Essence,Kombinasi,Kusam,100 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2022,Rp22.000–Rp40.000
Scarlett,Scarlett Brightening Facial Wash,Serum,Kombinasi,Kusam,30 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp39.000–Rp75.000
Avoskin,Avoskin Miraculous Retinol Ampoule,Serum,Berminyak,Flek hitam,50 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2018,Rp89.000–Rp250.000
Wardah,Wardah Hydra Boost Essence,Cream,Sensitif,Flek hitam,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp22.000–Rp40.000
COSRX,COSRX Green Tea Balancing Toner,Sunscreen,Berminyak,Iritasi,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2019,Rp55.000–Rp256.000
The Ordinary,The Ordinary Miraculous Retinol Ampoule,Sunscreen,Normal,Dehidrasi,30 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp130.000–Rp220.000
Dear Me Beauty,Dear Me Beauty Niacinamide 10% + Zinc 1%,Moisturizer,Normal,Kusam,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp83.000–Rp129.000
Avoskin,Avoskin Hyaluronic B5 Serum,Serum,Kering,Iritasi,100 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2018,Rp89.000–Rp250.000
Skintific,Skintific Salicylic Acid Daily Gentle Cleanser,Sunscreen,Berminyak,Kusam,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2018,Rp35.000–Rp139.000
COSRX,COSRX Exfoliating Toner,Cream,Kombinasi,Pori besar,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp55.000–Rp256.000
The Ordinary,The Ordinary Salicylic Acid Daily Gentle,Cleanser,Normal,Bekas jerawat,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp130.000–Rp220.000
Emina,Emina Exfoliating Toner,Cream,Kombinasi,Flek hitam,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp18.000–Rp58.000
Skintific,Skintific Hydrating Aloe Vera Gel,Toner,Kombinasi,Kusam,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2023,Rp35.000–Rp139.000
Somethinc,Somethinc Retinol Night,Serum,Sensitif,Penuaan,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2019,Rp69.000–Rp199.000
Emina,Emina Niacinamide 10% + Zinc 1%,Serum,Sensitif,Jerawat,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2018,Rp18.000–Rp58.000
COSRX,COSRX Acne Treatment Serum,Toner,Normal,Pori besar,100 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2023,Rp55.000–Rp256.000
COSRX,COSRX Tea Tree Spot Gel,Moisturizer,Kering,Dehidrasi,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp55.000–Rp256.000
Scarlett,Scarlett Hydrating Aloe Vera Gel,Serum,Kombinasi,Iritasi,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
Wardah,Wardah Salicylic Acid Daily Gentle Cleanser,Moisturizer,Normal,Iritasi,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp22.000–Rp40.000
Scarlett,Scarlett Ceramide Barrier Moisturizer,Sunscreen,Berminyak,Bekas jerawat,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp39.000–Rp75.000
Emina,Emina Vitamin C Serum,Essence,Kering,Jerawat,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp18.000–Rp58.000
Avoskin,Avoskin Daily Sunscreen SPF 50 PA+++,Essence,Kering,Iritasi,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp89.000–Rp250.000
Emina,Emina Ceramide Barrier Moisturizer,Toner,Berminyak,Dehidrasi,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp18.000–Rp58.000
Dear Me Beauty,Dear Me Beauty Niacinamide 10% + Zinc 1%,Essence,Kombinasi,Kusam,20 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2021,Rp83.000–Rp129.000
Emina,Emina Hydra Boost Essence,Sunscreen,Kering,Flek hitam,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp18.000–Rp58.000
COSRX,COSRX Ceramide Barrier,Moisturizer,Kombinasi,Dehidrasi,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp55.000–Rp256.000
Dear Me Beauty,Dear Me Beauty Exfoliating Toner,Moisturizer,Normal,Dehidrasi,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp83.000–Rp129.000
Dear Me Beauty,Dear Me Beauty Cica Soothing Cream,Cream,Kering,Penuaan,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2021,Rp83.000–Rp129.000
COSRX,COSRX Hyaluronic B5 Serum,Cleanser,Berminyak,Iritasi,100 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2022,Rp55.000–Rp256.000
Sensatia Botanicals,Sensatia Botanicals Hyaluronic B5 Serum,Toner,Kering,Jerawat,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp125.000–Rp150.000
Wardah,Wardah Glow Boost Serum,Cleanser,Normal,Penuaan,20 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2022,Rp22.000–Rp40.000
Emina,Emina Bakuchiol Night Cream,Serum,Kering,Pori besar,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2019,Rp18.000–Rp58.000
Avoskin,Avoskin Brightening Facial Wash,Sunscreen,Kombinasi,Iritasi,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp89.000–Rp250.000
Wardah,Wardah Exfoliating Toner,Sunscreen,Normal,Pori besar,50 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2023,Rp22.000–Rp40.000
Sensatia Botanicals,Sensatia Botanicals Advanced Snail 96 Mucin Essence,Sunscreen,Kering,Pori besar,30 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2020,Rp125.000–Rp150.000
Skintific,Skintific Cica Soothing Cream,Serum,Sensitif,Iritasi,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp35.000–Rp139.000
Dear Me Beauty,Dear Me Beauty Green Tea Balancing Toner,Sunscreen,Kering,Bekas jerawat,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp83.000–Rp129.000
Wardah,Wardah Vitamin C Serum,Cream,Kering,Penuaan,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp22.000–Rp40.000
Skintific,Skintific Hydra Boost Essence,Cream,Kombinasi,Jerawat,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp35.000–Rp139.000
Dear Me Beauty,Dear Me Beauty Brightening Facial Wash,Sunscreen,Berminyak,Jerawat,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2019,Rp83.000–Rp129.000
Somethinc,Somethinc Luminous Whitening Night Cream,Essence,Berminyak,Dehidrasi,30 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp69.000–Rp199.000
Dear Me Beauty,Dear Me Beauty Cica Soothing,Cream,Kering,Kusam,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp83.000–Rp129.000
Scarlett,Scarlett Hydrating Aloe Vera Gel,Sunscreen,Normal,Iritasi,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2021,Rp39.000–Rp75.000
Sensatia Botanicals,Sensatia Botanicals Miraculous Retinol Ampoule,Essence,Normal,Jerawat,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp125.000–Rp150.000
The Ordinary,The Ordinary Brightening Facial Wash,Essence,Kombinasi,Iritasi,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2020,Rp130.000–Rp220.000
Somethinc,Somethinc Acne Treatment Serum,Moisturizer,Kombinasi,Dehidrasi,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp69.000–Rp199.000
Skintific,Skintific Acne Treatment Serum,Toner,Normal,Kusam,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp35.000–Rp139.000
Avoskin,Avoskin Retinol Night Serum,Sunscreen,Sensitif,Kusam,30 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2019,Rp89.000–Rp250.000
Skintific,Skintific Ceramide Barrier Moisturizer,Moisturizer,Kering,Kusam,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2022,Rp35.000–Rp139.000
COSRX,COSRX Niacinamide 10% + Zinc 1%,Serum,Normal,Flek hitam,100 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp55.000–Rp256.000
Wardah,Wardah Miraculous Retinol Ampoule,Cream,Sensitif,Iritasi,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp22.000–Rp40.000
Sensatia Botanicals,Sensatia Botanicals Cica Soothing Cream,Sunscreen,Sensitif,Bekas jerawat,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp125.000–Rp150.000
